skill_a,skill_b,count
ci/cd,css,2
ci/cd,html,2
css,graphql,2
docker,rest api,2
graphql,html,2
graphql,kubernetes,2
kubernetes,rest api,2
kubernetes,typescript,2
rest api,typescript,2
jenkins,react,2
machine learning,node,2
git,terraform,2
ci/cd,kafka,2
graphql,nosql,2
mysql,redis,2
nosql,redis,2
redis,typescript,2
mysql,rest api,2
git,kafka,2
kubernetes,nosql,2
docker,kafka,2
linux,machine learning,2
graphql,sql,2
rest api,sql,2
angular,jenkins,2
angular,graphql,2
angular,mysql,2
angular,nosql,2
html,postgresql,2
angular,flask,2
angular,linux,2
css,flask,2
flask,html,2
flask,linux,2
python,redis,2
django,rest api,2
flask,rest api,2
postgresql,rest api,2
excel,python,2
django,gcp,2
flask,gcp,2
azure,redis,2
git,redis,2
flask,java,2
django,pandas,2
flask,pandas,2
pandas,tensorflow,2
azure,pandas,2
flask,jenkins,2
aws,pandas,2
java,vue,2
kafka,spark,2
power bi,tableau,2
gcp,javascript,2
aws,redis,2
ci/cd,redis,2
c++,java,2
html,jenkins,2
jenkins,node,2
kubernetes,postgresql,2
hadoop,sql,2
aws,deep learning,2
docker,pytorch,2
django,docker,2
django,kubernetes,2
azure,pytorch,2
azure,tensorflow,2
gcp,pytorch,2
gcp,tensorflow,2
machine learning,spark,2
docker,vue,2
docker,nosql,2
sql,terraform,2
aws,c++,2
angular,azure,2
c#,docker,2
c#,kubernetes,2
c#,linux,2
c#,terraform,2
c++,machine learning,2
ci/cd,power bi,1
gcp,postgresql,1
git,power bi,1
java,power bi,1
mysql,power bi,1
hadoop,java,1
azure,graphql,1
css,kubernetes,1
git,graphql,1
git,rest api,1
graphql,rest api,1
html,kubernetes,1
machine learning,terraform,1
mongodb,vue,1
graphql,redis,1
node,rest api,1
c++,javascript,1
kafka,linux,1
angular,gcp,1
git,machine learning,1
graphql,kafka,1
css,postgresql,1
css,django,1
django,html,1
flask,mongodb,1
linux,mongodb,1
django,kafka,1
django,redis,1
kafka,redis,1
mysql,pandas,1
django,spark,1
ci/cd,django,1
redis,sql,1
flask,machine learning,1
django,pytorch,1
django,tensorflow,1
flask,pytorch,1
flask,tensorflow,1
azure,excel,1
excel,flask,1
excel,pandas,1
django,vue,1
flask,vue,1
rest api,vue,1
django,jenkins,1
angular,go,1
go,java,1
go,javascript,1
go,react,1
go,vue,1
nosql,spark,1
kubernetes,spark,1
aws,tableau,1
python,tableau,1
jenkins,mysql,1
kubernetes,mysql,1
java,redis,1
gcp,hadoop,1
gcp,spark,1
azure,tableau,1
deep learning,javascript,1
javascript,tensorflow,1
docker,pandas,1
graphql,machine learning,1
gcp,pandas,1
ci/cd,deep learning,1
java,pandas,1
deep learning,hadoop,1
deep learning,kafka,1
deep learning,spark,1
hadoop,kafka,1
hadoop,machine learning,1
hadoop,pytorch,1
hadoop,tensorflow,1
kafka,machine learning,1
kafka,pytorch,1
kafka,tensorflow,1
pytorch,spark,1
spark,tensorflow,1
sql,tensorflow,1
css,redis,1
docker,redis,1
git,vue,1
html,redis,1
mysql,vue,1
redis,vue,1
css,jenkins,1
jenkins,nosql,1
flask,typescript,1
django,terraform,1
flask,kubernetes,1
flask,terraform,1
django,java,1
aws,vue,1
kubernetes,vue,1
sql,vue,1
terraform,vue,1
linux,node,1
azure,vue,1
c#,vue,1
linux,typescript,1
kubernetes,redis,1
redis,terraform,1
docker,spark,1
spark,terraform,1
jenkins,kafka,1
kafka,postgresql,1
c++,mongodb,1
c++,sql,1
azure,kafka,1
azure,mongodb,1
gcp,kafka,1
gcp,nosql,1
kafka,nosql,1
deep learning,pandas,1
docker,tensorflow,1
c++,pytorch,1
ci/cd,vue,1
c#,node,1
gcp,node,1
jenkins,typescript,1
angular,machine learning,1
